nome,status flora brasil,nome flora brasil,status plantlist,plantlist,flora brasil x plantlist
Utricularia triloba Benj. ,,Utricularia triloba Benj.,sinonimo,Utricularia subulata L.,diferente
Utricularia warmingii Kamiénski,,Utricularia warmingii Kamienski,,Utricularia warmingii Kamieński,diferente
Lindernia crustacea (L.) F.Muell. ,,Lindernia crustacea (L.) F.Muell.,,Lindernia crustacea (L.) F.Muell.,
Lindernia diffusa (L.) Wettst. ,,Lindernia diffusa (L.) Wettst.,,Lindernia diffusa (L.) Wettst.,
Lindernia microcalyx Pennell and Stehlé,nao_encontrato,,,Lindernia microcalyx Pennell & Stehlé,
Lindernia rotundifolia (L.) Alston,,Lindernia rotundifolia (L.) Alston,,Lindernia rotundifolia (L.) Alston,
Torenia thouarsii (Cham. & Schltdl.) Kuntze ,,Torenia thouarsii (Cham. & Schltdl.) Kuntze,,Torenia thouarsii (Cham. & Schltdl.) Kuntze,
Spigelia anthelmia L.,,Spigelia anthelmia L.,,Spigelia anthelmia L.,
Ammannia auriculata Willd.,,Ammannia auriculata Willd.,,Ammannia auriculata Willd.,
Ammannia latifolia L. ,,Ammannia latifolia L.,,Ammannia latifolia L.,
Cuphea antisyphilitica Kunth ,,Cuphea antisyphilitica Kunth,,Cuphea antisyphilitica Kunth,
Cuphea arenarioides A. St.-Hil.,,Cuphea arenarioides A.St.-Hil.,,Cuphea arenarioides A.St.-Hil.,
Cuphea campestris Koehne,,Cuphea campestris Koehne,,Cuphea campestris Mart. ex Koehne,diferente
Cuphea carthagenensis (Jacq.) Macbride ,,Cuphea carthagenensis (Jacq.) J.Macbr.,,Cuphea carthagenensis (Jacq.) J.F.Macbr.,diferente
Cuphea circaeoides Sm. ex Sims,,Cuphea circaeoides Sm. ex Sims,,Cuphea circaeoides Sm. ex Sims,
Cuphea fruticosa Spreng.,,Cuphea fruticosa Spreng.,,Cuphea fruticosa Spreng.,
Cuphea ingrata Cham. & Schltdl.,,Cuphea ingrata Cham. & Schltdl.,,Cuphea ingrata Cham. & Schltdl.,
Cuphea melvilla Lindl.,,Cuphea melvilla Lindl.,,Cuphea melvilla Lindl.,
Cuphea racemosa (L.f.) Spreng,,Cuphea racemosa (L.f.) Spreng.,,Cuphea racemosa (L.f.) Spreng.,
Cuphea repens Koehne,,Cuphea repens Koehne,,Cuphea repens Koehne,
Cuphea sessiliflora A. St.-Hil.,,Cuphea sessiliflora A.St.-Hil.,,Cuphea sessiliflora A.St.-Hil.,
Heimia myrtifolia Cham. & Schltdl.,sinonimo,Heimia apetala (Spreng.) S.A.Graham & Gandhi,,Heimia myrtifolia Cham. & Schltdl.,diferente
Lythrum hyssopifolia L.,,Lythrum hyssopifolia L.,,Lythrum hyssopifolia L.,
Pleurophora anomala (A. St.-Hil.) Koehne,,Pleurophora anomala (A. St.-Hil.) Koehne,,Pleurophora anomala (A.St.-Hil.) Koehne,diferente
Rotala mexicana Schltdl. & Cham.,,Rotala mexicana Cham. & Schltdl.,,Rotala mexicana Schltdl. & Cham.,diferente
Rotala ramosior (L.) Koehne ,,Rotala ramosior (L.) Koehne,,Rotala ramosior (L.) Koehne,
Rotala rotundifolia (Roxb.) Koehne,,Rotala rotundifolia (Roxb.) Koehne,,Rotala rotundifolia (Buch.-Ham. ex Roxb.) Koehne,diferente
Byrsonima intermedia A. Juss.,,Byrsonima intermedia A.Juss.,,Byrsonima intermedia A.Juss.,
Byttneria genistella Triana & Planch. ,,Byttneria genistella Triana & Planch.,,Byttneria genistella Triana & Planch.,
Byttneria palustris Cristobal,,Byttneria palustris Cristóbal,,Byttneria palustris Cristóbal,
Byttneria ramosissima Pohl,,Byttneria ramosissima Pohl,,Byttneria ramosissima Pohl,
Byttneria scabra L.,,Byttneria scabra L.,,Byttneria scabra L.,
Corchorus argutus Kunth,,Corchorus argutus Kunth,sinonimo,Corchorus orinocensis Kunth,diferente
Corchorus hirtus L. ,,Corchorus hirtus L.,,Corchorus hirtus L.,
Helicteres guazumifolia Kunth ,,Helicteres guazumifolia Kunth,,Helicteres guazumifolia Kunth,
Hibiscus bifurcatus Cav. ,,Hibiscus bifurcatus Cav.,,Hibiscus bifurcatus Cav.,
Hibiscus cisplatinus A.St.-Hil.,nao_encontrado,,sinonimo,Hibiscus striatus Cav.,
Hibiscus dimidiatus Schrank ,,Hibiscus dimidiatus Schrank,,Hibiscus dimidiatus Schrank,
Hibiscus diversifolius Jacq.,,Hibiscus diversifolius Jacq.,,Hibiscus diversifolius Jacq.,
Hibiscus furcellatus Ders. ,,Hibiscus furcellatus Desr.,,Hibiscus furcellatus Desr.,
Hibiscus sororius L.,,Hibiscus sororius L.,,Hibiscus sororius L.,
Hibiscus striatus Cav.,nao_encontrado,,,Hibiscus striatus Cav.,
Malachra radiata L.,,Malachra radiata (L.) L.,,Malachra radiata (L.) L.,
Melochia arenosa Benth.,,Melochia arenosa Benth.,,Melochia arenosa Benth.,
Melochia graminifolia A. St.-Hil. ,,Melochia graminifolia A.St.-Hil.,,Melochia graminifolia A.St.-Hil.,
Melochia hirsuta Cav.,sinonimo,Melochia villosa (Mill.) Fawc. & Rendle var. villosa,sinonimo,Melochia villosa (Mill.) Fawc. & Rendle,diferente
Melochia simplex A. St.-Hil.,,Melochia simplex A.St.-Hil.,,Melochia simplex A. St.-Hil.,diferente
Melochia spicata (L.) Fryxell ,sinonimo,Malva spicata L.,,Melochia spicata (L.) Fryxell,diferente
Monteiroa ptarmicifolia (St.-Hil & Naud.) Krap.,,Monteiroa ptarmicifolia (A.St.-Hil. & Naudin) Krapov.,,Monteiroa ptarmicifolia (A. St.-Hil. & Naudin) Krapov.,diferente
Pavonia angustifolia Benth. ,,Pavonia angustifolia Benth.,,Pavonia angustifolia Benth.,
Pavonia cancellata Cav. ,,Pavonia cancellata (L.) Cav.,,Pavonia cancellata (L.) Cav.,
Pavonia grandiflora A. St.-Hil. ,,Pavonia grandiflora A.St.-Hil.,,Pavonia grandiflora A. St.-Hil.,diferente
Pavonia laetevirens R. E. Fr.,,Pavonia laetevirens R.E.Fries,,Pavonia laetevirens R.E. Fr.,diferente
Pavonia sessiliflora Kunth,nao_encontrado,,sinonimo,Peltaea sessiliflora (Kunth) Standl.,
Sida acuta Burm. f. ,,Sida acuta Burm.f.,,Sida acuta Burm.f.,
Sida anomala A. St. Hil. ,,Sida anomala A.St.-Hil.,sinonimo,Sida ciliaris L.,diferente
Sida galheirensis Ulbr.,,Sida galheirensis Ulbr.,,Sida galheirensis Ulbr.,
Sida rhombifolia L.,,Sida rhombifolia L.,,Sida rhombifolia L.,
Sida setosa Mart. ,,Sida setosa Mart.,,Sida setosa Mart. ex Colla,diferente
Sida spinosa L.,,Sida spinosa L.,,Sida spinosa L.,
Sidastrum multiflorum (Jacq.) Fryxell,,Sidastrum multiflorum (Jacq.) Fryxell,,Sidastrum multiflorum (Jacq.) Fryxell,
Triumfetta althaeoides Lam.,,Triumfetta althaeoides Lam.,,Triumfetta althaeoides Lam.,
Urena lobata L.,,Urena lobata L.,,Urena lobata L.,
Waltheria americana L.,sinonimo,Waltheria indica L.,sinonimo,Waltheria indica L.,
Waltheria indica L. ,,Waltheria indica L.,,Waltheria indica L.,
Calathea capitata (Ruiz & Pav.) Lindl. ,sinonimo,Goeppertia capitata (Ruiz & Pav.) Borchs. & S.Suárez,,Calathea capitata (Ruiz & Pav.) Lindl.,diferente
Calathea comosa (L. f.) Lindl. ,sinonimo,Goeppertia comosa (L.f.) Borchs. & Suárez,,Calathea comosa (L.f.) Lindl.,diferente
Calathea lanata Petersen ,sinonimo,Goeppertia lanata (Petersen) Borchs. & S.Suárez,,Calathea lanata Petersen,diferente
Calathea loeseneri J.F. Macbr. ,sinonimo,Goeppertia loeseneri (J.F.Macbr.) Borchs. & S.Suárez,,Calathea loeseneri J.F.Macbr.,diferente
Calathea micans (L. Mathieu) Körn. ,sinonimo,Goeppertia micans (L.Mathieu) Borchs. & S.Suárez,,Calathea micans (L.Mathieu) Körn.,diferente
Ischnosiphon polyphyllus (Poepp. & Endl.) Körn. ,,Ischnosiphon polyphyllus (Poepp. & Endl.) Körn.,,Ischnosiphon polyphyllus (Poepp. & Endl.) Körn.,
Thalia multiflora Horkel ex Koern.,,Thalia multiflora Horkel ex Körn.,,Thalia multiflora Horkel ex Körn.,
Thalia geniculata L.,,Thalia geniculata L.,,Thalia geniculata L.,
Mayaca fluviatilis Aubl.,,Mayaca fluviatilis Aubl.,,Mayaca fluviatilis Aubl.,
Mayaca kunthii Seub.,,Mayaca kunthii Seub.,,Mayaca kunthii Seub.,
Mayaca longipes Mart. ex Seub. ,,Mayaca longipes Mart. ex Seub.,,Mayaca longipes Mart. ex Seub.,
Mayaca sellowiana Kunth ,,Mayaca sellowiana Kunth,sinonimo,Mayaca madida (Vell.) Stellfeld,diferente
Aciotis acuminifolia (Mart. ex DC.) Triana ,,Aciotis acuminifolia (Mart. ex DC.) Triana,,Aciotis acuminifolia (Mart. ex DC.) Triana,
Aciotis ornata (Miq.) Gleason ,,Aciotis ornata (Miq.) Gleason,,Aciotis ornata (Miq.) Gleason,
Acisanthera alsinaefolia (DC.) Triana,,Acisanthera alsinaefolia (Mart.& Schrank ex DC.) Triana,,Acisanthera alsinaefolia (DC.) Triana,diferente
Acisanthera divaricarta Cogn.,nao_encontrado,,nao_encontrado,,
Acisanthera fluitans Cogn.,sinonimo,Acisanthera limnobios (Schrank & Mart. ex DC.) Triana,,Acisanthera fluitans Cogn.,diferente
Acisanthera limnobios (DC.) Triana ,,Acisanthera limnobios (Schrank & Mart. ex DC.) Triana,,Acisanthera limnobios (DC.) Triana,diferente
Acisanthera variabilis (DC.) Triana,,Acisanthera variabilis (Naud.) Triana,,Acisanthera variabilis (DC.) Triana,diferente
Cambessedesia hilariana (Kunth) DC.,,Cambessedesia hilariana (Kunth) DC.,,Cambessedesia hilariana (Kunth) DC.,
Clidemia capitellata (Bonpl.) D. Don ,,Clidemia capitellata (Bonpl.) D.Don,,Clidemia capitellata (Bonpl.) D. Don,diferente
Clidemia hirta D.Don ,,Clidemia hirta (L.) D.Don,,Clidemia hirta (L.) D. Don,diferente
Comolia villosa (Aubl.) Triana,,Comolia villosa (Aubl.) Triana,,Comolia villosa (Aubl.) Triana,
Desmoscelis villosa (Aubl.) Naudin ,,Desmoscelis villosa (Aubl.) Naudin,,Desmoscelis villosa (Aubl.) Naudin,
Lavoisiera umbricata DC.,nao_encontrado,,nao_encontrado,,
Leandra multiplinervis (Naudin) Cogn.,,Leandra multiplinervis (Naudin) Cogn.,,Leandra multiplinervis (Naudin) Cogn.,
Maicarea radula (Bonpl.) DC.,nao_encontrado,,nao_encontrado,,
Miconia chamissois Naud.,,Miconia chamissois Naudin,,Miconia chamissois Naudin,
Microlepis oleifolia (DC.) Triana,sinonimo,Pleroma oleifolium R. Romero & Versiane,,Microlepis oleifolia (DC.) Triana,diferente
Microlicia myrtoidea Cham.,,Microlicia myrtoidea Cham.,,Microlicia myrtoidea Cham.,
Pterolepis glomerata (Rottb.) Miq. ,,Pterolepis glomerata (Rottb.) Miq.,,Pterolepis glomerata (Rottb.) Miq.,
Pterolepis repanda (DC.) Triana,,Pterolepis repanda (DC.) Triana,,Pterolepis repanda (DC.) Triana,
Rhynchanthera cordata DC.,,Rhynchanthera cordata DC.,,Rhynchanthera cordata DC.,
Rhynchanthera dichotoma (Desr.) DC. ,,Rhynchanthera dichotoma (Desr.) DC.,,Rhynchanthera dichotoma (Desr.) DC.,
Rhynchanthera grandiflora (Aubl.) DC.,,Rhynchanthera grandiflora (Aubl.) DC.,,Rhynchanthera grandiflora (Aubl.) DC.,
Rhynchanthera hispida Naudin,,Rhynchanthera hispida Naudin,,Rhynchanthera hispida Naudin,
Rhynchanthera novemnervia DC. ,,Rhynchanthera novemnervia DC.,,Rhynchanthera novemnervia DC.,
Rhynchanthera serrulata (L. C. Rich.) DC. ,,Rhynchanthera serrulata (L.C.Rich.) DC.,,Rhynchanthera serrulata (Rich.) DC.,diferente
Rhynchanthera verbenoides Cham.,,Rhynchanthera verbenoides Cham.,,Rhynchanthera verbenoides Cham.,
Tibouchina aspera Aubl.,,Tibouchina aspera Aubl.,,Tibouchina aspera Aubl.,
Tibouchina asperior (Cham.) Cogn. ,sinonimo,Pleroma asperior (Cham.) Triana,,Tibouchina asperior (Cham.) Cogn.,diferente
Tibouchina cerastifolia (Naudin) Cogn. ,,Tibouchina cerastifolia Cogn.,,Tibouchina cerastifolia Cogn.,
Tibouchina cisplatensis Cogn. ,,Tibouchina cisplatensis Cogn.,,Tibouchina cisplatensis Cogn.,
Tibouchina gracilis (Bonpl.) Cogn. ,sinonimo,Chaetogastra gracilis (Bonpl.) DC.,,Tibouchina gracilis (Bonpl.) Cogn.,diferente
Tibouchina herbacea (DC.) Cogn. ,,Tibouchina herbacea (DC.) Cogn.,,Tibouchina herbacea (DC.) Cogn.,
Tibouchina sebastianopolitana (Raddi) Cogn.,,Tibouchina sebastianopolitana Cogn.,,Tibouchina sebastianopolitana Cogn.,
Tibouchina semidecandra Cogn.,sinonimo,Pleroma semidecandrum (Schrank et Mart. ex DC.) Triana,,Tibouchina semidecandra (Mart. & Schrank ex DC.) Cogn.,diferente
Tibouchina trichopoda (DC.) Baill.,sinonimo,Pleroma trichopodum DC.,,Tibouchina trichopoda Baill.,diferente
Tibouchina urceolaris (Schr. & Mart. ex DC.),sinonimo,Pleroma urceolare (Schrank et Mart. ex DC.) Triana,,Tibouchina urceolaris Cogn.,diferente
Cissampelos andromorpha DC. ,,Cissampelos andromorpha DC.,,Cissampelos andromorpha DC.,
Cissampelos glaberrima A. St.-Hil. ,,Cissampelos glaberrima A.St.-Hil.,,Cissampelos glaberrima A.St.-Hil.,
Odontocarya arifolia Barneby ,sinonimo,Odontocarya membranacea (A.C. Sm.) R. Ortiz,Não resolvido,Odontocarya arifolia Barneby,diferente
Odontocarya tamoides (DC.) Miers ,,Odontocarya tamoides (DC.) Miers,,Odontocarya tamoides (DC.) Miers,
Nymphoides grayana (Griseb.) Kuntze ,,Nymphoides grayana (Griseb.) Kuntze,,Nymphoides grayana (Griseb.) Kuntze,
Nymphoides humboldtiana (Kunth) Kuntze ,,Nymphoides humboldtiana (Kunh) Kuntze,sinonimo,Nymphoides indica (L.) Kuntze,diferente
Nymphoides indica (L.) Kuntze,nao_encontrado,,,Nymphoides indica (L.) Kuntze,
Glinus radiatus (Ruiz & Pav.) Rohr.,,Glinus radiatus (Ruiz & Pav.) Rohrb.,,Glinus radiatus (Ruiz & Pav.) Rohrb.,
Mollugo verticillata L.,,Mollugo verticillata L.,,Mollugo verticillata L.,
Psidium acutangulum DC. ,,Psidium acutangulum DC.,,Psidium acutangulum Mart. ex DC.,diferente
Psidium cattleianum Sabine ,,Psidium cattleianum Sabine,,Psidium cattleianum Afzel. ex Sabine,diferente
Nymphaea alba  L. ,nao_encontrado,,,Nymphaea alba L.,
Nymphaea amazonum Mart. & Zucc.,,Nymphaea amazonum Mart. & Zucc.,,Nymphaea amazonum Mart. & Zucc.,
Nymphaea ampla (Salisb.) DC.,,Nymphaea ampla (Salisb.) DC.,,Nymphaea ampla (Salisb.) DC.,
Nymphaea belophylla Trickett ,,Nymphaea belophylla Trickett,,Nymphaea belophylla Trickett,
Nymphaea caerulea Savigny ,,Nymphaea caerulea Savigny,sinonimo,Nymphaea nouchali var. caerulea (Savigny) Verdc.,diferente
Nymphaea capensis Thunb.,,Nymphaea capensis Thunb.,,Nymphaea capensis Thunb.,
Nymphaea gardneriana Planch.,,Nymphaea gardneriana Planch.,,Nymphaea gardneriana Planch.,
Nymphaea jamesoniana Planch. ,,Nymphaea jamesoniana Planch.,,Nymphaea jamesoniana Planch.,
Nymphaea lasiophylla Mart. & Zucc. ,,Nymphaea lasiophylla Mart. & Zucc.,,Nymphaea lasiophylla Mart. & Zucc.,
Nymphaea lingulata Wiersema ,,Nymphaea lingulata Wiersema,,Nymphaea lingulata Wiersema,
Nymphaea lotus L.,,Nymphaea lotus L.,,Nymphaea lotus L.,
Nymphaea mexicana Zucc.,,Nymphaea mexicana Zucc.,,Nymphaea mexicana Zucc.,
Nymphaea odorata Aiton,,Nymphaea odorata Aiton,,Nymphaea odorata Aiton,
Nymphaea oxypetala Planch. ,,Nymphaea oxypetala Planch.,,Nymphaea oxypetala Planch.,
Nymphaea prolifera Wiersema ,,Nymphaea prolifera Wiersema,,Nymphaea prolifera Wiersema,
Nymphaea pulchella DC. ,,Nymphaea pulchella DC.,,Nymphaea pulchella DC.,
Nymphaea rubra Roxb. Ex. Salisb,,Nymphaea rubra Roxb. ex Andrews,,Nymphaea rubra Roxb. ex Andrews,
Nymphaea rudgeana G.Mey,,Nymphaea rudgeana G.Mey.,,Nymphaea rudgeana G.Mey.,
Victoria amazonica (Poepp.) J.E. Sowerby ,,Victoria amazonica (Poepp.) J.E.Sowerby,,Victoria amazonica (Poepp.) J.C. Sowerby,diferente
Sauvagesia erecta L. ,,Sauvagesia erecta L.,,Sauvagesia erecta L.,
Sauvagesia racemosa A. St.-Hil.,,Sauvagesia racemosa A.St.-Hil.,,Sauvagesia racemosa A.St.-Hil.,
Sauvagesia rubiginosa A.St.-Hil. ,,Sauvagesia rubiginosa A.St.-Hil.,,Sauvagesia rubiginosa A.St.-Hil.,
Sauvagesia sprengelii A.St.-Hil.,,Sauvagesia sprengelii A.St.-Hil.,,Sauvagesia sprengelii A.St.-Hil.,
Ludwigia affinis (DC.) H. Hara ,,Ludwigia affinis (DC.) H.Hara,,Ludwigia affinis (DC.) H.Hara,
Ludwigia caparosa (Cambess.) H. Hara ,,Ludwigia caparosa (Cambess.) H.Hara,,Ludwigia caparosa (Cambess.) H. Hara,diferente
Ludwigia decurrens Walter ,,Ludwigia decurrens Walter,,Ludwigia decurrens Walter,
Ludwigia densiflora (Micheli) H. Hara ,,Ludwigia densiflora (Micheli) H.Hara,,Ludwigia densiflora (Micheli) H.Hara,
Ludwigia elegans (Cambess.) Hara,,Ludwigia elegans (Cambess.) H.Hara,,Ludwigia elegans (Cambess.) H.Hara,
Ludwigia erecta (L.) H.Hara ,,Ludwigia erecta (L.) H.Hara,,Ludwigia erecta (L.) H.Hara,
Ludwigia filiformis (Micheli) Ramamoorthy,,Ludwigia filiformis (Micheli) Ramamoorthy,,Ludwigia filiformis (Micheli) Ramamoorthy,
Ludwigia grandiflora (Michx.) Greuter & Burdet,,Ludwigia grandiflora (Michx.) Greuter & Burdet,,Ludwigia grandiflora (Michx.) Greuter & Burdet,
Ludwigia helminthorrhiza (Mart.) H. Hara,,Ludwigia helminthorrhiza (Mart.) H.Hara,,Ludwigia helminthorrhiza (Mart.) H.Hara,
Ludwigia hexapetala (Hook. And Arn.) Zardini et al.,,Ludwigia hexapetala (Hook. & Arn.) Zardini et al.,,"Ludwigia hexapetala (Hook. & Arn.) Zardini, H.Y. Gu & P.H. Raven",diferente
Ludwigia hyssopifolia (G.Don) Exell,,Ludwigia hyssopifolia (G.Don) Exell,,Ludwigia hyssopifolia (G.Don) Exell,
Ludwigia inclinata (L.f.) M. Gómez,,Ludwigia inclinata (L.f.) M.Gómez,,Ludwigia inclinata (L.f.) M.Gómez,
Ludwigia irwinii T.P. Ramamoorthy ,,Ludwigia irwinii Ramamoorthy,,Ludwigia irwinii Ramamoorthy,
Ludwigia lagunae (Morong) H. Hara,,Ludwigia lagunae (Morong) H.Hara,,Ludwigia lagunae (Morong) H. Hara,diferente
Ludwigia leptocarpa (Nutt.) H.Hara,,Ludwigia leptocarpa (Nutt.) H.Hara,,Ludwigia leptocarpa (Nutt.) H.Hara,
Ludwigia linifolia Poir.,nao_encontrado,,sinonimo,Ludwigia hyssopifolia (G.Don) Exell,
Ludwigia longifolia (DC.) Hara ,,Ludwigia longifolia (DC.) H.Hara,,Ludwigia longifolia (DC.) H.Hara,
Ludwigia major (Micheli) Ramam.,,Ludwigia major (Micheli) Ramamoorthy,,Ludwigia major (Micheli) Ramamoorthy,
Ludwigia multinervia (Hook. & Arn.) Ramamoorthy,,Ludwigia multinervia (Hook. & Arn.) Ramamoorthy,,Ludwigia multinervia (Hook. & Arn.) Ramamoorthy,
Ludwigia nervosa (Poir.) H.Hara,,Ludwigia nervosa (Poir.) H.Hara,,Ludwigia nervosa (Poir.) H.Hara,
Ludwigia octovalvis (Jacq.) P.H.Raven,,Ludwigia octovalvis (Jacq.) P.H.Raven,,Ludwigia octovalvis (Jacq.) P.H.Raven,
Ludwigia peploides (Kunth) P.H.Raven ,,Ludwigia peploides (Kunth) P.H.Raven,,Ludwigia peploides (Kunth) P.H.Raven,
Ludwigia peruviana (L.) Hover,,Ludwigia peruviana (L.) H.Hara,,Ludwigia peruviana (L.) H.Hara,
Ludwigia rigida (Miq.) Sandwith ,,Ludwigia rigida (Miq.) Sandwith,,Ludwigia rigida (Miq.) Sandwith,
Ludwigia sedoides (Humb. & Bonpl.) H.Hara,nao_encontrado,,nao_encontrado,,
Ludwigia sericea (Camb.) H. Hara ,,Ludwigia sericea (Cambess.) H.Hara,,Ludwigia sericea (Cambess.) H.Hara,
Ludwigia suffruticosa (L.) H. Hara ,nao_encontrado,,sinonimo,Ludwigia octovalvis (Jacq.) P.H.Raven,
Ludwigia tomentosa (Cambess.) H.Hara ,,Ludwigia tomentosa (Cambess.) H.Hara,,Ludwigia tomentosa (Cambess.) H. Hara,diferente
Ludwigia torulosa (Arn.) H. Hara ,,Ludwigia torulosa (Arn.) H.Hara,,Ludwigia torulosa (Arn.) H.Hara,
Ludwigia uruguayensis (Camb.) H. Hara ,sinonimo,Ludwigia hexapetala (Hook. & Arn.) Zardini et al.,,Ludwigia uruguayensis (Cambess.) H.Hara,diferente
"Anacheilium alagoense (Pabst) Pabst, Moutinho ex A.V. Pinto",sinonimo,Prosthechea alagoensis (Pabst) W.E.Higgins,sinonimo,Prosthechea alagoensis (Pabst) W.E.Higgins,
Cleistes gracilis (Barb. Rodr.) Schltr.,,Cleistes gracilis (Barb.Rodr) Schltr.,sinonimo,Cleistes rodriguesii (Cogn.) Campacci,diferente
Cyrtopodium paludicolum Hoehne,,Cyrtopodium paludicolum Hoehne,nao_encontrado,,diferente
Epidendrum dendrobioides Thumb.,,Epidendrum dendrobioides Thunb.,,Epidendrum dendrobioides Thunb.,
Erythrodes pumila (Cogn.) Pabst,sinonimo,Aspidogyne pumila (Cogn.) Garay,sinonimo,Aspidogyne pumila (Cogn.) Garay,
Eulophia alta (L.) Fawc. & Rendle ,,Eulophia alta (L.) Fawc. & Rendle,,Eulophia alta (L.) Fawc. & Rendle,
Habenaria aricaensis Hoehne ,,Habenaria aricaensis Hoehne,,Habenaria aricaensis Hoehne,
Habenaria brachyphyton Schultr. ,sinonimo,Habenaria parviflora Lindl.,,Habenaria brachyphyton Schltr. ex Mansf.,diferente
Habenaria bractescens Lindl.,,Habenaria bractescens Lindl.,sinonimo,Habenaria gourlieana Gillies ex Lindl.,diferente
Habenaria graciliscarpa B. Rodr.,nao_encontrado,,nao_encontrado,,
Habenaria inconspicua Cogn.,,Habenaria inconspicua Cogn.,sinonimo,Habenaria parviflora Lindl.,diferente
Habenaria johannensis Barb. Rodr.,,Habenaria johannensis Barb.Rodr.,,Habenaria johannensis Barb.Rodr.,
Habenaria nabucoi Ruschi,,Habenaria nabucoi Ruschi,sinonimo,Habenaria melvillei Ridl.,diferente
Habenaria nuda Lindl.,,Habenaria nuda Lindl.,,Habenaria nuda Lindl.,
Habenaria parviflora Lindl. ,,Habenaria parviflora Lindl.,,Habenaria parviflora Lindl.,
Habenaria pratensis (Lindl.) Rchb. f.,,Habenaria pratensis (Salzm. ex Lindl.) Rchb.f.,,Habenaria pratensis (Lindl.) Rchb.f.,diferente
Habenaria repens Nutt. ,,Habenaria repens Nutt.,,Habenaria repens Nutt.,
Habenaria riedelii Cogn.,sinonimo,Habenaria warmingii Rchb.f.,sinonimo,Habenaria warmingii Rchb.f. & Warm.,diferente
Habenaria vaupellii Rchb. ,sinonimo,Habenaria johannensis Barb.Rodr.,sinonimo,Habenaria johannensis Barb.Rodr.,
Buchnera palustris (Aubl.) Spreng. ,,Buchnera palustris (Aubl.) Spreng.,,Buchnera palustris (Aubl.) Spreng.,
Buchnera rosea Kunth ,,Buchnera rosea Kunth,,Buchnera rosea Kunth,
Melasma melampyroides (Rich.) Pennell ,,Melasma melampyroides (Rich.) Pennell,,Melasma melampyroides (Rich.) Pennell ex Britton & P.Wilson,diferente
Vellosiella dracocephaloides (Vell.) Baill.,nao_encontrado,,,Vellosiella dracocephaloides (Vell.) Baill.,
Oxalis barrelieri L. ,,Oxalis barrelieri L.,,Oxalis barrelieri L.,
Passiflora foetida L.,,Passiflora foetida L.,,Passiflora foetida L.,
Passiflora vespertilio L. ,,Passiflora vespertilio L.,,Passiflora vespertilio L.,
Piriqueta cistoides (L.) Griseb. ,,Piriqueta cistoides (L.) Griseb.,,Piriqueta cistoides (L.) Griseb.,
"Piriqueta duarteana (A. St.-Hil., A. Juss. & Cambess.) Urb. ",,Piriqueta duarteana (Cambess.) Urb.,,"Piriqueta duarteana (A. St.-Hil., A. Juss. & Cambess.) Urb.",diferente
Piriqueta racemosa (Jacq.) Sweet,,Piriqueta racemosa (Jacq.) Sweet,,Piriqueta racemosa (Jacq.) Sweet,
Turnera scabra Millsp. ,,Turnera scabra Millsp.,,Turnera scabra Millsp.,
Sesamum indicum L.,nao_encontrado,,,Sesamum indicum L.,
Phyllanthus fluitans Benth. ex Müll. Arg. ,,Phyllanthus fluitans Benth. ex Müll.Arg.,,Phyllanthus fluitans Benth. ex Müll.Arg.,
Phyllanthus hyssopifolioloides H. B. K.,nao_encontrado,,nao_encontrado,,
Phyllanthus niruri L.,,Phyllanthus niruri L.,,Phyllanthus niruri L.,
Phyllanthus sellowianus M. Arg.,,Phyllanthus sellowianus (Klotzsch) Müll.Arg.,,Phyllanthus sellowianus (Klotzsch) Müll.Arg.,
Phyllanthus stipulatus (Raf.) G.L.Webster ,,Phyllanthus stipulatus (Raf.) G.L.Webster,,Phyllanthus stipulatus (Raf.) G.L.Webster,
Phytolacca thyrsiflora Fenzl ex J. A. Schmidt,,Phytolacca thyrsiflora Fenzl. ex J.A.Schmidt,,Phytolacca thyrsiflora Fenzl ex J.A.Schmidt,diferente
Piper caldense C.DC. ,,Piper caldense C.DC.,,Piper caldense C. DC.,diferente
Piper fuligineum Kunth,,Piper fuligineum Kunth,,Piper fuligineum Kunth,
Achetaria ocymoides (Cham. & Schltdl.) Wettst. ,,Achetaria ocymoides (Cham. & Schltdl.) Wettst.,,Achetaria ocymoides (Cham. & Schltdl.) Wettst.,
Angelonia gardneri Hook. ,sinonimo,Angelonia salicariifolia Bonpl.,,Angelonia gardneri Hook.,diferente
Bacopa aquatica Aubl.,,Bacopa aquatica Aubl.,,Bacopa aquatica Aubl.,
Bacopa arenaria Loefgr. & Edwall ,,Bacopa arenaria (Schmidt) Edwall,,Bacopa arenaria (J.A.Schmidt) Loefgr. & Edwall,diferente
Bacopa egensis (Poepp.) Pennell,,Bacopa egensis (Poepp.) Pennell,,Bacopa egensis (Poepp.) Pennell,
Bacopa lanigera Wettst.,,Bacopa lanigera (Cham. & Schltdl.) Wettst.,,Bacopa lanigera (Cham. & Schltdl.) Wettst.,
Bacopa monnieri (L.) Wettst.,,Bacopa monnieri (L.) Pennell,,Bacopa monnieri (L.) Wettst.,diferente
Bacopa rotundifolia (Michx.) Wettst.,,Bacopa rotundifolia (Michx.) Wettst.,,Bacopa rotundifolia (Michx.) Wettst.,
Bacopa salzmannii Wettst. ex Edwall,,Bacopa salzmannii (Benth.) Wettst. ex Edwall,,Bacopa salzmannii (Benth.) Edwall,diferente
